epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,21071.4,0.48193,0.82787,0.90468,0.9103,0.77019,0.71579,0.75763,0.48002,0.73532,0.62628,0.67746,0.34115,1.56082,3.87082,3.29805,1.96188,0.002377,0.002377,0.002377
79,21343.2,0.47638,0.81778,0.89197,0.90702,0.76798,0.71432,0.75768,0.48111,0.73472,0.62624,0.67752,0.3425,1.55907,3.87739,3.29932,1.96133,0.002278,0.002278,0.002278
80,21614.9,0.47522,0.81446,0.89014,0.90741,0.80467,0.69167,0.76462,0.48273,0.73655,0.62897,0.68269,0.34351,1.55875,3.88385,3.29018,1.96171,0.002179,0.002179,0.002179
81,21887.8,0.46849,0.79995,0.87749,0.90524,0.80518,0.69217,0.76379,0.48347,0.73626,0.62961,0.68418,0.34365,1.55812,3.88669,3.28509,1.96081,0.00208,0.00208,0.00208
82,22161.2,0.46765,0.80159,0.86987,0.90278,0.80457,0.69283,0.76319,0.48303,0.7492,0.62176,0.68579,0.3446,1.55797,3.89341,3.29324,1.96263,0.001981,0.001981,0.001981
83,22433.5,0.46184,0.79226,0.86136,0.89955,0.80491,0.69359,0.76531,0.48338,0.75031,0.61945,0.68684,0.34533,1.55703,3.90508,3.28746,1.96031,0.001882,0.001882,0.001882
84,22706.5,0.45754,0.77902,0.85368,0.89661,0.79961,0.6992,0.76289,0.48226,0.75184,0.618,0.68606,0.34615,1.5564,3.91619,3.29267,1.96085,0.001783,0.001783,0.001783
85,22978.4,0.45269,0.77354,0.84172,0.89653,0.79927,0.69974,0.76446,0.48381,0.73725,0.6312,0.69078,0.34724,1.55649,3.91402,3.29778,1.96045,0.001684,0.001684,0.001684
86,23251.9,0.44933,0.76432,0.83464,0.89404,0.79581,0.69937,0.76488,0.48438,0.73665,0.6315,0.69086,0.34713,1.55676,3.91681,3.3079,1.95768,0.001585,0.001585,0.001585
87,23527,0.44402,0.75706,0.83035,0.8943,0.80541,0.69586,0.76683,0.48587,0.73548,0.63167,0.69174,0.34762,1.55808,3.92778,3.31801,1.95903,0.001486,0.001486,0.001486
88,23799.8,0.43914,0.75196,0.81919,0.89306,0.80531,0.69641,0.76749,0.48724,0.73409,0.62952,0.6917,0.34869,1.55885,3.93442,3.31736,1.95959,0.001387,0.001387,0.001387
89,24072.7,0.43343,0.74144,0.80612,0.88973,0.80466,0.69627,0.76631,0.48685,0.73379,0.62913,0.69106,0.34733,1.56018,3.95772,3.33816,1.96086,0.001288,0.001288,0.001288
90,24342.6,0.42788,0.73559,0.79495,0.88936,0.80428,0.69524,0.7685,0.48845,0.75253,0.6169,0.69283,0.34886,1.56119,3.95721,3.3367,1.96344,0.001189,0.001189,0.001189
91,24646.7,0.34167,0.59331,0.62755,0.85707,0.80294,0.69489,0.76888,0.48979,0.75409,0.61671,0.69401,0.34958,1.55955,3.95472,3.33294,1.96008,0.00109,0.00109,0.00109
92,24949.4,0.32898,0.56446,0.60982,0.85034,0.80008,0.69447,0.76979,0.49158,0.75417,0.61676,0.69306,0.34982,1.55881,3.95861,3.33051,1.96118,0.000991,0.000991,0.000991
93,25251.5,0.31949,0.55054,0.59607,0.84868,0.79756,0.69925,0.77044,0.49174,0.75503,0.61668,0.69398,0.35069,1.5595,3.96982,3.34393,1.96003,0.000892,0.000892,0.000892
94,25553.3,0.31369,0.54007,0.58469,0.84573,0.79812,0.69885,0.76885,0.49039,0.73483,0.62909,0.69254,0.34806,1.55803,3.97741,3.32818,1.95962,0.000793,0.000793,0.000793
95,25854.8,0.30454,0.53217,0.57288,0.84221,0.7992,0.69875,0.76923,0.49182,0.7347,0.62898,0.6928,0.34859,1.55754,3.98868,3.32748,1.95824,0.000694,0.000694,0.000694
96,26154.5,0.30027,0.52544,0.56469,0.8417,0.79985,0.69982,0.76731,0.49034,0.73429,0.62836,0.69324,0.34954,1.55137,4.00136,3.31202,1.95367,0.000595,0.000595,0.000595
97,26454.9,0.29424,0.51978,0.55242,0.84062,0.80425,0.70322,0.77191,0.49144,0.7336,0.62787,0.69446,0.3492,1.54802,4.01117,3.31471,1.95113,0.000496,0.000496,0.000496
98,26756.6,0.28919,0.51239,0.54674,0.83842,0.80281,0.70338,0.77212,0.49391,0.7295,0.63087,0.69234,0.34924,1.54605,4.02067,3.31244,1.95021,0.000397,0.000397,0.000397
99,27057.2,0.28388,0.50913,0.53724,0.83691,0.8052,0.70426,0.77302,0.49514,0.72804,0.63118,0.69411,0.35097,1.54531,4.0369,3.32085,1.95191,0.000298,0.000298,0.000298
100,27358.8,0.27973,0.50219,0.53191,0.83537,0.80522,0.70442,0.7743,0.49573,0.72787,0.63131,0.69497,0.35205,1.54406,4.04852,3.31385,1.95204,0.000199,0.000199,0.000199
